Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Apply,Spawn,Motion,Behavior,Shape,Aim Target,Offset,AOE (hex),Skill Range,Count,Spread,Collision (If it have one),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s),Cast (s)
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.5/2/8,—
Lux,4 Gold,Carry,Demacia,,Sorcerer,,4,Laser Spell Spammer,"Laser the current target for 3s, dealing damage over time and shredding MR over time.",1,Active,On Cast,—,Self,Hitbox,at-User,—,—,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,735/1100/2750% AP,—,—,Every 0.5s,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,15/15/40 /s,—,—,Every 0.5s,3,—
Cassiopeia,1 Gold,Carry,Noxus,Shurima,Invoker,,4,Single-Target Spell Spammer,Damage the current target and Wound it; the damage is amplified if the target is already Wounded.,1,Active,On Cast,If Target Wounded,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,160/240/360% AP,Conditional Bonus,+30% if Wounded,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Wound,—,—,—,Once,5,—
Samira,1 Gold,Carry,Noxus,,Challenger,,4,Single-Target Shred Spammer,Shoot the current target for damage and permanently shred a flat amount of DEF.,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,First-Hit,1-hex,Current,—,—,4,1,—,First-Hit,Same to Aim Target,Attack,Damage,190/190/200% AD,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,10/15/20,Derived,+AP,Once,Permanent,—
Kled,2 Gold,Tank,Noxus,Yordle,Slayer,,1,AA Juggernaut,"Passive: start with +30% bonus HP; when it expires, gain a permanent stacking Attack Speed boost. Active: gain new bonus HP.",0.1,Passive,Game Start,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Bonus HP,30% max HP,—,—,Once,—,—
,,,,,,,,,,0.2,Passive,On Bonus-HP Expire,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Attack Speed,65/70/75% AP,Stacking,stacking,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Bonus HP,30% max HP,—,—,Once,—,—
Swain,2 Gold,Tank,Noxus,,Strategist,Sorcerer,2,Transforming AOE Tank,"Transform to gain bonus max HP, then deal circular AOE magic damage over time. If already transformed, gain more HP and deal a burst.",1,Active,On Cast,If not Transformed,Self,DirectApply,—,—,—,—,Self,—,—,2,—,—,None,Same to Aim Target,Buff,Bonus HP,325/375/550% AP,—,—,Once,—,—
,,,,,,,,,,,,,If Already Transformed,,Hitbox,at-Target,—,—,circle,,centred,—,2,1,,Area,Same to Aim Target,Buff,Bonus HP,225/260/385% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,100/160/300% AP,Burst,burst,Once,—,—
,,,,,,,,,,0,Passive,When Transformed,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,—,2,1,—,Area,Enemies in area,Attack,Damage,25/40/60% AP,Per Tick,per second,Every 0.5s,—,—
Darius,3 Gold,Carry,Noxus,,Juggernaut,,1,Executing Melee Carry,"Strike the current target for heavy physical damage; if it kills the target, immediately recast on a new target.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,1,—,—,None,Same to Aim Target,Attack,Damage,350% AD + 55/80/110% AP,—,—,Once,—,—
,,,,,,,,,,2,Active,On Kill,—,Self,DirectApply,—,—,—,—,Current (new),—,—,1,—,—,None,Same to Aim Target,Attack,Damage,90/95/100% of cast,—,—,Once,—,—
Katarina,3 Gold,Carry,Noxus,,Rogue,,1,AOE Wound Assassin,"Throw three daggers at nearby enemies, blink to each, and deal circular AOE magic damage plus Wound to adjacent enemies.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Clustered,—,—,1,—,—,None,Self,Movement,(setup / daggers),—,—,—,—,—,—
,,,,,,,,,,2,Active,After Cast,—,Self,DirectApply,—,—,—,—,Clustered,—,—,1,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
,,,,,,,,,,3,Active,After Leap,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,145/220/350% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Wound,—,—,—,Once,6,—
Sion,5 Gold,Tank,Noxus,,Bruiser,,1,Charging Stun Tank,"Charge into the largest enemy cluster, dealing physical damage and Stunning enemies in the path. Passive: revive once on death with decaying HP, immune to CC and gaining Attack Speed.",1,Active,On Cast,—,Self,Hitbox,at-User,Forward 3 hex,—,1-hex,Clustered,—,—,1,—,—,Pierce-All,Enemies in path,Attack,Damage,225/235/500% AD,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Status,Stun,—,—,—,Once,1.25/1.5/15,—
,,,,,,,,,,0,Passive,On Death,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Bonus HP,100% HP,Decay,20/13/0% per second,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Attack Speed,1.5/1.5/10% AP,—,—,Once,—,—
Irelia,1 Gold,Tank,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Armor,25,—,—,Once,Permanent,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,MR,25,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Shield,350/400/450% AP,Decay,decays over its duration,Once,3,—
,,,,,,,,,,2,Active,On Shield Expire,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,70/100/150% AP,Derived,+30% of damage absorbed,Once,—,—
,,,,,,,,,,,,,,,Hitbox,at-User,—,—,box,Current,—,—,1,,,Pierce-All,Enemies in path,Attack,Damage,70/100/150% AP,Derived,+30% of damage absorbed,Once,—,—
Jhin,1 Gold,Carry,Ionia,,Deadeye,,5,Falloff Line Carry,Ionia Bonus: +25% Attack Damage. Active: take aim at the current target and fire a shot through enemies in a line; each enemy hit reduces the damage by 56%.,0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,5,—,—,None,Same to Aim Target,Buff,AD,25%,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Pierce,1-hex,Current,—,—,5,1,—,Pierce-All,Enemies in path,Attack,Damage,744% AD & AP,Falloff per hit,−56% per hit,Once,—,—
Sett,2 Gold,Tank,Ionia,,Juggernaut,,1,Grab-and-Slam Stun Tank,"Ionia Bonus: +180 max Health. Active: grab an enemy from either side and slam them together, dealing magic damage and Stunning them. If only one enemy is grabbed, the damage and Stun duration are increased by 50%.",0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Bonus HP,180,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,Hitbox,at-User,—,—,box,Adjacent (both sides),—,—,1,1,—,Flank-Pair,Grabbed enemies,Attack,Damage,180/270/420% AP,Conditional Bonus,+50% if only 1 grabbed,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Grabbed enemies,Status,Stun,—,Conditional Bonus,+50% if only 1 grabbed,Once,1.25/1.5/2,—
Zed,2 Gold,Carry,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Crit Chance,15%,—,—,Once,Permanent,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Crit Damage,15%,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Farthest (within 2 hex),—,—,1,1,—,None,—,Summon,(summon),—,—,—,—,—,—
,,,,,,,,,,2,Active,After Summon,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,140/140/150% AD + 25/40/50% AP,—,—,Once,—,—
,,,,,,,,,,,,,,Summon,,,,,,Summon,,,,,,,Enemies in area,Attack,Damage,140/140/150% AD + 25/40/50% AP,—,—,Once,—,—
Karma,3 Gold,Carry,Ionia,,Invoker,,4,Burst Spell Spammer,"Ionia Bonus: +25 Ability Power. Active: fire a burst of energy that explodes on impact, dealing magic damage to enemies adjacent to the target. Every third cast launches 3 bursts.",0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,4,—,—,None,Same to Aim Target,Buff,AP,25,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,If 1st or 2nd Cast,Self,Hitbox,at-User,Projectile,First-Hit,circle,Current,—,1,4,1,—,First-Hit,Enemies in area,Attack,Damage,200/300/470% AP,—,—,Once,—,—
,,,,,,,,,,,,,If 3rd Cast,,Hitbox,at-User,Projectile,First-Hit,circle,,—,1,4,3,Current + Left + Right,First-Hit,Enemies in area,Attack,Damage,200/300/470% AP,—,—,Once,—,—
Shen,4 Gold,Tank,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Damage Reduction,8%,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Shield,350/450/2000% AP,—,—,Once,4,—
,,,,,,,,,,,,,,,,,,,,Lowest-HP Allies,,,,,,,Same to Aim Target,Buff,Shield,225/275/1500% AP,—,—,Once,4,—
,,,,,,,,,,2,Active,After Shielding Allies,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Same to Aim Target,Buff,Shield,(refresh),—,—,Once,4,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,240/360/2500% AP,Burst,burst,Once,—,—
Yasuo,4 Gold,Carry,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Omnivamp,15%,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Pierce,1-hex,Farthest (within 3 hex),—,—,1,1,—,Pierce-All,Enemies in path,Status,Stun,—,—,—,Once,—,—
,,,,,,,,,,2,Active,After Whirlwind,—,Self,DirectApply,—,—,—,—,Step 1 Aim target,—,—,1,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
,,,,,,,,,,3,Active,After Leap,—,Self,DirectApply,—,—,—,—,Step 1 Aim target,—,—,1,—,—,None,Same to Aim Target,Attack,Damage,500/500/1500% AD + 55/85/300% AP,—,—,Once,—,—
,,,,,,,,,,4,Active,After Slash,—,Self,Hitbox,at-Target,—,—,circle,Step 1 Aim target,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,300/300/750% AD,—,—,Once,—,—
Ahri,5 Gold,Carry,Ionia,,Sorcerer,,4,Essence-Steal Spell Carry,"Ionia Bonus: +3 Mana per second. Active: steal essence from enemies around the current target, dealing magic damage and Mana Reaving them. Every third cast instead unleashes a wave that damages all enemies hit, dealing 33% more to enemies whose essence has been stolen.",0,Passive,Game Start,If Ionia Active,Self,DirectApply,—,—,—,—,Self,—,—,4,—,—,None,Same to Aim Target,Buff,Mana Regen,3 /s,—,—,Once,Permanent,—
,,,,,,,,,,1,Active,On Cast,If 1st or 2nd Cast,Self,Hitbox,at-Target,—,—,circle,Current,centred,—,4,1,—,Area,Enemies in area,Attack,Damage,105/150/1000% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Mana Reave,20%,—,—,Once,Until next cast,—
,,,,,,,,,,,,,If 3rd Cast,,Hitbox,at-User,Projectile,Pierce,1-hex,Self,—,—,4,,360° radial,Pierce-All,All enemies,Attack,Damage,260/390/1999% AP,Conditional Bonus,+33% if essence stolen,Once,—,—
Renekton,1 Gold,Tank,Shurima,,Bruiser,,1,Healing AOE Bruiser,"Deal magic damage to adjacent enemies. Heal for the first enemy hit, and a further 30% Ability Power for every additional enemy caught in the same swing.",1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,180/270/400% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Heal,220/270/320% AP,Per Target Hit,+30% AP per additional enemy hit,Once,—,—
Taliyah,2 Gold,Carry,Shurima,,Multicaster,,4,Knock-up Punisher Mage,"Passive: whenever ANY enemy is knocked up or back - by anything, not just her - throw a boulder towards them; it damages the first enemy it hits. Active: damage the current target and knock them up, Stunning them for 2s.",0,Passive,On Enemy Knocked Up,—,Self,Hitbox,at-User,Projectile,First-Hit,1-hex,Knocked-up enemy,—,—,4,1,—,First-Hit,First hit enemy,Attack,Damage,120/180/270% AP,—,—,Once,—,—
,,,,,,,,,,1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,220/330/495% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,2,—
Akshan,3 Gold,Carry,Shurima,,Deadeye,,4,Multi-shot Deadeye,Lock on to the farthest enemy and unleash a hail of 6 shots toward them. Each shot damages the first enemy it hits - which need not be the enemy locked on to.,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,First-Hit,1-hex,Farthest,—,—,4,6,Same target,First-Hit,First hit enemy,Attack,Damage,125% AD + 20/35/60% AP,—,—,Once,—,—
Azir,4 Gold,Carry,Shurima,,Strategist,,4,Sand Soldier Summoner,"Passive: every third attack, a Sand Soldier damages Azir's target. Active: summon a Sand Soldier to attack the current target; if Azir already has 3 Soldiers, they all strike at once instead.",0,Passive,On 3rd Attack,—,Summon,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,110/160/500% AP,—,—,Once,—,—
,,,,,,,,,,1,Active,On Cast,If fewer than 3 Soldiers,Self,DirectApply,—,—,—,—,—,—,—,4,3,—,None,Same to Aim Target,Summon,(summon),—,Cap,max 3 Soldiers on the board,—,—,—
,,,,,,,,,,,,,If Already 3 Soldiers,Summon,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,,Same target,Target-Only,Same to Aim Target,Attack,Damage,70% AP,—,—,Once,—,—
Nasus,4 Gold,Tank,Shurima,,Juggernaut,,1,Stat-Stealing Juggernaut,"Steal max Health, Attack Damage, Armor and Magic Resist from the nearest 4/5/7 enemies for 8s - each stat is deducted from them and added to him. While empowered, every third attack deals heavy physical damage.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Nearest 4/5/7 enemies,—,—,1,—,—,None,Same to Aim Target,Debuff,Max HP,4/4/15%,—,—,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,AD,8%,—,—,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,DEF,4/4/20,—,—,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,4/4/20,—,—,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Bonus HP,4/4/15%,Per Target Hit,from each enemy hit,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,8%,Per Target Hit,from each enemy hit,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Armor,4/4/20,Per Target Hit,from each enemy hit,Once,8,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,MR,4/4/20,Per Target Hit,from each enemy hit,Once,8,—
,,,,,,,,,,0,Passive,On 3rd Attack,If Empowered,Self,DirectApply,—,—,—,—,Current,—,—,1,1,—,Target-Only,Same to Aim Target,Attack,Damage,380/380/700% AD,—,—,Once,—,—
K'Sante,5 Gold,Tank,Shurima,,Bastion,,1,Knockback Slam Tank,"Heal, then knock up the current target and smash them to the edge of the battlefield, damaging and Stunning them. Enemies the flying target collides with are also damaged and Stunned. If the target cannot be pushed further it is knocked off the battlefield; otherwise K'Sante chases it.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Heal,10% max HP,—,—,Once,—,—
,,,,,,,,,,2,Active,After Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,1,1,—,Pierce-All,Same to Aim Target,Attack,Damage,250/400/1000% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,2/2.5/10,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Attack,Damage,250/400/1000% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Status,Stun,—,—,—,Once,1/1.25/5,—
,,,,,,,,,,3,Active,After Knock Back,If Target at Edge,Self,DirectApply,—,—,—,—,Step 2 Aim target,—,—,1,—,—,None,Same to Aim Target,Status,Knock Off,—,—,—,Once,—,—
,,,,,,,,,,,,,If Target Not at Edge,,DirectApply,—,—,—,—,,—,—,1,,,,Self,Movement,(reposition),—,—,—,—,—,—
Ashe,2 Gold,Support,Freljord,,Deadeye,,6,Cone Chill Archer,Fire 8 arrows in a cone. Each arrow damages the first enemy it hits and Chills it (-30% Attack Speed) for 2s.,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,First-Hit,1-hex,Current,—,—,6,8,Cone,First-Hit,First hit enemy,Attack,Damage,160/165/175% AD,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,First hit enemy,Status,Chill,—,—,—,Once,2,—
Lissandra,3 Gold,Support,Freljord,,Invoker,,2,Stun & Amplify Mage,"Stun the current target, damage everything within 2 hexes of it, and leave those enemies taking 10% more damage for 4s.",1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,circle,Current,centred,2,2,1,—,Area,Same to Aim Target,Status,Stun,—,—,—,Once,2,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,160/240/400% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,Damage Amplification,10%,—,—,Once,4,—
Sejuani,4 Gold,Tank,Freljord,,Bruiser,,1,Chill Enabler Tank,"Passive: whenever an ALLY attacks a Chilled enemy, that ally's attack deals bonus true damage. Active: shield self, then damage and Chill nearby enemies.",0,Passive,On Ally Attack Chilled Enemy,—,Ally,DirectApply,—,—,—,—,Current,—,—,1,1,—,Target-Only,Same to Aim Target,Attack,True Damage,160/240/1200,Derived,increased by max Health,Once,—,—
,,,,,,,,,,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Shield,600/700/2000% AP,—,—,Once,4,—
,,,,,,,,,,2,Active,After Cast,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,2,1,1,—,Area,Enemies in area,Attack,Damage,160/240/1200% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Chill,—,—,—,Once,4,—
Orianna,1 Gold,Support,Piltover,,Sorcerer,,4,Shield & Empower Support,"Shield the lowest-Health ally for 4s, and empower Orianna's NEXT attack to deal bonus magic damage.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Lowest-HP Ally,—,—,4,—,—,None,Same to Aim Target,Buff,Shield,200/225/275% AP,—,—,Once,4,—
,,,,,,,,,,,,,,,,,,,,Self,,,,,,,Same to Aim Target,Buff,Empowered Attack,290/435/650% AP,—,—,Once,—,—
Vi,2 Gold,Tank,Piltover,,Bruiser,,1,Shield & Sunder Bruiser,"Shield self for 4s, then damage enemies within 1 hex of the current target and Sunder them (-20% Armor) for 4s.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Shield,350/400/450% AP,—,—,Once,4,—
,,,,,,,,,,2,Active,After Cast,—,Self,Hitbox,at-Target,—,—,circle,Current,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,300% AD,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Debuff,DEF,20%,—,—,Once,4,—
Ekko,3 Gold,Carry,Zaun,Piltover,Rogue,,1,Retroactive-Heal Assassin,"Heal for 20% of the damage he took in the last 4s, then strike the current target for magic damage.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Heal,20% of damage taken in last 4s,—,—,Once,—,—
,,,,,,,,,,2,Active,After Cast,—,Self,DirectApply,—,—,—,—,Current,—,—,1,—,—,None,Same to Aim Target,Attack,Damage,255/380/570% AP,—,—,Once,—,—
Jayce,3 Gold,Support,Piltover,,Gunner,,4,Flank-Buff Gunner,"Grant himself Attack Speed and his left and right neighbours Ability Power for 3s, then fire a blast that detonates on the first enemy hit, damaging everyone near the blast.",1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Self,—,—,4,—,—,None,Same to Aim Target,Buff,Attack Speed,30/40/50% AP,—,—,Once,3,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjacent allies (left & right),Buff,AP,15%,—,—,Once,3,—
,,,,,,,,,,2,Active,After Cast,—,Self,Hitbox,at-User,Projectile,First-Hit,circle,Current,—,1,4,1,—,First-Hit,Enemies in area,Attack,Damage,275/275/295% AD,—,—,Once,—,—
Viego,1 Gold,Carry,Shadow Isles,,Rogue,,1,Stacking Melee Assassin,"Deal 110/165/250% Ability Power magic damage to the current target. For the rest of combat, Viego's attacks deal 20/30/45% Ability Power bonus stacking magic damage.",1,Active,On Cast,—,Self,Hitbox,at-User,—,—,box,Current,—,—,1,1,—,Pierce-All,Enemies in path,Attack,Damage,110/165/250% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,Self,,,,—,,,Enemies in path,Buff,On-Hit Damage,20/30/45% AP,Stacking,stacking,Once,Permanent,—
