Legacy Action,Apply,Spawn,Motion,Behavior,Shape,Offset,Collision,What it does,Clarify more
Bounce Charge,Hitbox,at-User,Projectile,Homing,specify elsewhere,centred,Target-Only,"The CASTER becomes the bouncing hitbox: it charges to the aim target, then re-charges to the next-nearest enemy, chaining Count times — moving its own body each hop.","Zac. It is 'Bounce Homing Projectile + Charge' (the user's words): the same chaining as Bounce Homing Projectile, but the CARRIER moves (Charge) rather than a projectile being thrown — Katarina throws a blade and stays put, Zac's body bounces. Count is the number of bounces; Collision Target-Only, each hop touching only the enemy it re-homed onto. Its own action because 'the caster moves' is a property of the DELIVERY, not a per-row override. Shape per-row like every projectile (1-hex bolt = 'default')."
Grab & Slam,Hitbox,at-User,—,—,box,centred,Flank-Pair,Self grabs one enemy from EACH side and slams them together.,The effect applies only to the grabbed enemies. If only one side is occupied then only one is grabbed - and the effect is amplified by 50%.
Knock Back,DirectApply,—,—,—,—,—,None,Self smashes the aimed enemy across the board.,"K'Sante's. HE projects no hitbox, so his Collision is None - the smash lands on the aimed enemy only. The FLYING BODY is a separate action ('Charge', Source = 'Knocked-back enemy'), which is what hits everyone on the way. Those were one row until the user pointed out the same problem on Sion; while they were lumped, this tab said None and the Hero row said Pierce-All, and both were right about a different half of it."
Receive Projectile,Hitbox,at-User,Projectile,Returning,specify elsewhere,centred,Self,"Waits for a previously thrown projectile to RETURN to the caster, then applies its effect to self.","Collision is Self, NOT None: something IS flying back and the unit it collides with is the caster. SHAPE IS PER-ROW: a projectile's own hitbox is in the row's AOE (hex) — a 1-hex bolt for most, Box 1.5x2 for Sona's wave. And it is the PROJECTILE's shape, never the shape of anything it bursts into: a burst is a separate step (trigger 'On Projectile Hit', source 'Step N Projectile')."
Cast,DirectApply,—,—,—,—,—,None,"Self plays an animation, then applies the stated effect or sets up the step that follows.","Projects no hitbox into the world, so its Collision is ALWAYS None - even when it is a melee strike on a target. Who it lands on is carried by Aim Target and Effect Recipient, not by the collision."
Move,DirectApply,—,—,—,—,—,None,Self moves to the target hex - a reposition.,"Projects nothing, so Collision is None. Normally just sets up the follow-up action that does the damage."
Move Behind,DirectApply,—,—,—,—,—,None,Self moves to the hex BEHIND the target - a reposition that ends up on the far side of it.,"Projects nothing, so Collision is None. Normally just sets up the follow-up action that does the damage."
Static Summon,DirectApply,at-Target,—,—,—,—,None,"Self spawns a unit at the aim hex that STANDS there and attacks from its spot — it does not move.","Set 9 Zed's shadow, Azir's Sand Soldiers. The 2026-07-18 split of the old generic 'Summon' into three actions BY BEHAVIOUR (Static / Charge / Hero), the user's call: summons fall into stands-still / charges-in / acts-like-a-champion, and the behaviour is a property of the ACTION. Spawn is at-Target (on the aimed hex). The spawned unit is a SECOND action source for the steps that follow — its attacks are centred on IT, not on Self."
Charge Summon,DirectApply,—,—,—,—,—,None,"Self spawns unit(s) that CHARGE a target — they may spawn UNGRIDDED (float with no hex) and then charge in carrying a hitbox.","Naafiri's packmates, Gangplank's Dreadway. Replaced 'Summon (untethered)': being ungridded is itself part of the charge summon's nature (at-User/at-Target both claim a hex these units do not have, so Spawn is '—' and Aim Target may be '—'). The actual charge + hit is the follow-up step (e.g. 'Charge [collision=Target-Only]'), sourced from the summon. A second action source, like all three summons."
Hero Summon,DirectApply,at-Target,—,—,—,—,None,"Self spawns a unit that acts like a CHAMPION — it WALKS the grid and auto-attacks on its own.","Set 10 Zed's untargetable Shadow; Soraka's Child of the Star. The difference from Static Summon is MOBILITY — a hero summon repositions and behaves like a real unit rather than attacking from a fixed spot. Spawn is at-Target (it appears on a hex, then moves). A second action source for the steps that follow."
Current Target Laser,Hitbox,at-User,—,—,1-hex,—,Target-Only,"Beam locked onto the aimed target ONLY, applying its effect over a duration.",NO travel speed. Nothing between the unit and the target is touched (Lux).
Bonus on AA,DirectApply,—,—,—,—,—,None,An effect that rides on an auto-attack that has ALREADY happened.,"Pair it with Trigger = 'On Attack' / 'On 3rd Attack' / etc - the attack is the TRIGGER, so the action must not also be the attack. Projects NO hitbox: the auto-attack already delivered the hit, and this only adds an effect to it, so Collision is None. The effect is the point, and it need not be damage - Warwick HEALS ('Attacks heal for 30/35/40% AP'), Kalista impales, Zeri executes. Replaced 'Auto-Attack' as an action, which was circular ('On attack, do an auto-attack') - the user's call. If the attack itself is RESHAPED rather than merely added to, it is not this: Nilah's cone is a Cone AOE."
QuickAA,Hitbox,at-User,Projectile,Homing,specify elsewhere,centred,Target-Only,"The unit attacks the target N times in QUICK SUCCESSION - N basic-attack-like hits in a row, not a real ability cast.","Bel'Veth: 6/6/25 rapid attacks on the lowest-HP enemy, carried in Count. It PERFORMS attacks, which is why it is its own action and not 'Bonus on AA' - and why it is no longer folded in with Auto-Attack (ranged), whose only users are summons. SHAPE IS PER-ROW: a projectile's own hitbox is in the row's AOE (hex) — a 1-hex bolt for most, Box 1.5x2 for Sona's wave. And it is the PROJECTILE's shape, never the shape of anything it bursts into: a burst is a separate step (trigger 'On Projectile Hit', source 'Step N Projectile')."
Zone AOE,Hitbox,at-Target,—,—,circle,per row,Area,"A hitbox that STAYS for a duration, re-applying to whoever is inside it at each tick.","The difference from Circle AOE is WHERE THE DAMAGE COMES FROM, and it is testable: walk out of a Zone and it stops; walk away from a Circle AOE's poison and it keeps ticking, because that one rides on YOU. So the ACTION says which kind of duration a row means - a Zone's Effect Duration is the HITBOX's life, a Circle AOE's is the victim's status. Silco's chemicals sit on the ground for 6s; Garen's beyblade and Swain's aura are zones centred on the caster (Aim = Self). Its Effect Recipient is re-evaluated every tick, which is the whole point."
,,,,,,,,,
"AXES — fill each that applies, else —",,,,,,,,,
Apply,DirectApply | Hitbox,,,,,,,,
Spawn,at-User | at-Target,(Hitbox only — where the hitbox appears),,,,,,,
Motion,— (static) | Projectile | Arc | Forward N hex,(how the hitbox moves),,,,,,,
Behavior,First-Hit | Homing | Pierce | Returning,(Motion = Projectile only),,,,,,,
Shape,1-hex | circle | cone | box | custom | specify elsewhere,(Hitbox only — 'specify elsewhere' = the row's AOE (hex) says it; every projectile),,,,,,,
Offset,see the 'Offset Types' tab,"(Hitbox only) That tab is the definition and VALIDATE checks Hero against it. Listing the values here as well would be a second copy of one fact, and two copies disagree given a chance.",,,,,,,
,,,,,,,,,
"SHAPE: fixed for most actions and stated here — a Circle AOE is always a circle. But a PROJECTILE's shape is the ROW's ('specify elsewhere'): the same Pierce Projectile is a 1-hex bolt for Kayle and a 1.5-wide wave for Sona. SIZE is always per-row, in Hero's AOE (hex), which names a row of the 'AOE shape' tab. A BURST IS NOT A SHAPE: a projectile that explodes is TWO parts — the projectile, then a separate step (trigger 'On Projectile Hit', source 'Step N Projectile') for the AOE it becomes. Collision and Offset also stay in Hero where they vary ('per row' below).",,,,,,,,,
