Set,Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s),Action group
Set 9,Darius,3 Gold,Carry,Noxus,,Juggernaut,,1,Executing Melee Carry,"Strike the current target for heavy physical damage; if it kills the target, immediately recast on a new target.",1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,350% AD + 55/80/110% AP,—,—,Once,—,Direct
Set 9,Darius,3 Gold,Carry,Noxus,,Juggernaut,,1,Executing Melee Carry,"Strike the current target for heavy physical damage; if it kills the target, immediately recast on a new target.",2,Active,On Kill,—,Self,Cast,Current (new),—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,90/95/100% of cast,—,—,Once,—,Direct
Set 9,Katarina,3 Gold,Carry,Noxus,,Rogue,,1,AOE Wound Assassin,"Throw three daggers at nearby enemies, blink to each, and deal circular AOE magic damage plus Wound to adjacent enemies.",1,Active,On Cast,—,Self,Cast,Clustered,—,—,1,—,—,—,—,Self,Movement,(setup),—,—,—,—,—,Direct
Set 9,Katarina,3 Gold,Carry,Noxus,,Rogue,,1,AOE Wound Assassin,"Throw three daggers at nearby enemies, blink to each, and deal circular AOE magic damage plus Wound to adjacent enemies.",2,Active,After Step 1,—,Self,Move,Clustered,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Katarina,3 Gold,Carry,Noxus,,Rogue,,1,AOE Wound Assassin,"Throw three daggers at nearby enemies, blink to each, and deal circular AOE magic damage plus Wound to adjacent enemies.",3,Active,After Step 2,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,145/220/350% AP,—,—,Once,—,AOE
Set 9,Katarina,3 Gold,Carry,Noxus,,Rogue,,1,AOE Wound Assassin,"Throw three daggers at nearby enemies, blink to each, and deal circular AOE magic damage plus Wound to adjacent enemies.",3,Active,After Step 2,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Status,Wound,—,—,—,Once,6,AOE
Set 9,Sion,5 Gold,Tank,Noxus,,Bruiser,,1,Charging Stun Tank,"Charge into the largest enemy cluster, dealing physical damage and Stunning enemies in the path. Passive: revive once on death with decaying HP, immune to CC and gaining Attack Speed.",1,Active,On Cast,—,Self,Charge,Clustered,default,default,1,—,—,—,—,Enemies in path,Attack,Damage,225/235/500% AD,—,—,Once,—,Charge
Set 9,Sion,5 Gold,Tank,Noxus,,Bruiser,,1,Charging Stun Tank,"Charge into the largest enemy cluster, dealing physical damage and Stunning enemies in the path. Passive: revive once on death with decaying HP, immune to CC and gaining Attack Speed.",1,Active,On Cast,—,Self,Charge,Clustered,default,default,1,—,—,—,—,Enemies in path,Status,Stun,—,—,—,Once,1.25/1.5/15,Charge
Set 9,Sion,5 Gold,Tank,Noxus,,Bruiser,,1,Charging Stun Tank,"Charge into the largest enemy cluster, dealing physical damage and Stunning enemies in the path. Passive: revive once on death with decaying HP, immune to CC and gaining Attack Speed.",0.1,Passive,On Death,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,100% HP,Decay,20/13/0% per second,Once,—,Direct
Set 9,Sion,5 Gold,Tank,Noxus,,Bruiser,,1,Charging Stun Tank,"Charge into the largest enemy cluster, dealing physical damage and Stunning enemies in the path. Passive: revive once on death with decaying HP, immune to CC and gaining Attack Speed.",0.1,Passive,On Death,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Attack Speed,1.5/1.5/10% AP,—,—,Once,—,Direct
Set 9,Irelia,1 Gold,Tank,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Armor,25,—,—,Once,Permanent,Direct
Set 9,Irelia,1 Gold,Tank,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,MR,25,—,—,Once,Permanent,Direct
Set 9,Irelia,1 Gold,Tank,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,350/400/450% AP,Decay,decays over its duration,Once,3,Direct
Set 9,Irelia,1 Gold,Tank,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",2,Active,On Shield Expire,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,70/100/150% AP,Derived,+30% of damage absorbed,Once,—,AOE
Set 9,Irelia,1 Gold,Tank,Ionia,,Bastion,,1,Decaying Shield Tank,"Ionia Bonus: +25 Armor and Magic Resist. Active: enter a defensive stance and gain a Shield that rapidly decays over 3s. When it expires, deal circular AOE magic damage plus 30% of the damage absorbed to enemies around and in front of her.",2,Active,On Shield Expire,—,Self,Laser Shot,Current,default,unknown,1,1,—,—,—,Enemies in path,Attack,Damage,70/100/150% AP,Derived,+30% of damage absorbed,Once,—,Beam
Set 9,Jhin,1 Gold,Carry,Ionia,,Deadeye,,5,Falloff Line Carry,Ionia Bonus: +25% Attack Damage. Active: take aim at the current target and fire a shot through enemies in a line; each enemy hit reduces the damage by 56%.,0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,5,—,—,—,—,Same to Aim Target,Buff,AD,25%,—,—,Once,Permanent,Direct
Set 9,Jhin,1 Gold,Carry,Ionia,,Deadeye,,5,Falloff Line Carry,Ionia Bonus: +25% Attack Damage. Active: take aim at the current target and fire a shot through enemies in a line; each enemy hit reduces the damage by 56%.,1,Active,On Cast,—,Self,Pierce Projectile,Current,default,Box 1x2,5,1,—,—,—,Enemies in path,Attack,Damage,744% AD & AP,Falloff per hit,−56% per hit,Once,—,Projectile
Set 9,Sett,2 Gold,Tank,Ionia,,Juggernaut,,1,Grab-and-Slam Stun Tank,"Ionia Bonus: +180 max Health. Active: grab an enemy from either side and slam them together, dealing magic damage and Stunning them. If only one enemy is grabbed, the damage and Stun duration are increased by 50%.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,180,—,—,Once,Permanent,Direct
Set 9,Sett,2 Gold,Tank,Ionia,,Juggernaut,,1,Grab-and-Slam Stun Tank,"Ionia Bonus: +180 max Health. Active: grab an enemy from either side and slam them together, dealing magic damage and Stunning them. If only one enemy is grabbed, the damage and Stun duration are increased by 50%.",1,Active,On Cast,—,Self,Grab & Slam,Adjacent (both sides),default,Box 3x1,1,1,—,—,—,Grabbed enemies,Attack,Damage,180/270/420% AP,Conditional Bonus,+50% if only 1 grabbed,Once,—,Charge
Set 9,Sett,2 Gold,Tank,Ionia,,Juggernaut,,1,Grab-and-Slam Stun Tank,"Ionia Bonus: +180 max Health. Active: grab an enemy from either side and slam them together, dealing magic damage and Stunning them. If only one enemy is grabbed, the damage and Stun duration are increased by 50%.",1,Active,On Cast,—,Self,Grab & Slam,Adjacent (both sides),default,Box 3x1,1,1,—,—,—,Grabbed enemies,Status,Stun,—,Conditional Bonus,+50% if only 1 grabbed,Once,1.25/1.5/2,Charge
Set 9,Zed,2 Gold,Carry,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Crit Chance,15%,—,—,Once,Permanent,Direct
Set 9,Zed,2 Gold,Carry,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Crit Damage,15%,—,—,Once,Permanent,Direct
Set 9,Zed,2 Gold,Carry,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,1,Active,On Cast,—,Self,Static Summon,Farthest (within 2 hex),—,—,1,1,—,—,—,—,Summon,(summon),—,—,—,—,—,Summon
Set 9,Zed,2 Gold,Carry,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,140/140/150% AD + 25/40/50% AP,—,—,Once,—,AOE
Set 9,Zed,2 Gold,Carry,Ionia,,Rogue,Slayer,1,Shadow Twin Assassin,Ionia Bonus: +15% Critical Strike Chance and Critical Strike Damage. Active: create a shadow at the furthest enemy within 2 hexes; Zed and his shadow each slash adjacent enemies for physical damage.,2,Active,After Step 1,—,Summon,Circle AOE,Summon,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,140/140/150% AD + 25/40/50% AP,—,—,Once,—,AOE
Set 9,Karma,3 Gold,Carry,Ionia,,Invoker,,4,Burst Spell Spammer,"Ionia Bonus: +25 Ability Power. Active: fire a burst of energy that explodes on impact, dealing magic damage to enemies adjacent to the target. Every third cast launches 3 bursts.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,AP,25,—,—,Once,Permanent,Direct
Set 9,Karma,3 Gold,Carry,Ionia,,Invoker,,4,Burst Spell Spammer,"Ionia Bonus: +25 Ability Power. Active: fire a burst of energy that explodes on impact, dealing magic damage to enemies adjacent to the target. Every third cast launches 3 bursts.",1,Active,On Cast,If 1st or 2nd Cast,Self,First hit Projectile,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—,Projectile
Set 9,Karma,3 Gold,Carry,Ionia,,Invoker,,4,Burst Spell Spammer,"Ionia Bonus: +25 Ability Power. Active: fire a burst of energy that explodes on impact, dealing magic damage to enemies adjacent to the target. Every third cast launches 3 bursts.",1,Active,On Cast,If 3rd Cast,Self,First hit Projectile,Current + Left + Right,default,default,4,3,—,At Once,—,—,—,—,—,—,—,—,—,Projectile
Set 9,Karma,3 Gold,Carry,Ionia,,Invoker,,4,Burst Spell Spammer,"Ionia Bonus: +25 Ability Power. Active: fire a burst of energy that explodes on impact, dealing magic damage to enemies adjacent to the target. Every third cast launches 3 bursts.",2,Active,On Projectile Hit,—,Step 1 Projectile,Circle AOE,Hex That Projectile Hit,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,200/300/470% AP,—,—,Once,—,AOE
Set 9,Shen,4 Gold,Tank,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Damage Reduction,8%,—,—,Once,Permanent,Direct
Set 9,Shen,4 Gold,Tank,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,350/450/2000% AP,—,—,Once,4,Direct
Set 9,Shen,4 Gold,Tank,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",1,Active,On Cast,—,Self,Cast,Lowest-HP Allies,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,225/275/1500% AP,—,—,Once,4,Direct
Set 9,Shen,4 Gold,Tank,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Same to Aim Target,Buff,Shield,(refresh),—,—,Once,4,AOE
Set 9,Shen,4 Gold,Tank,Ionia,,Bastion,Invoker,1,Ally-Shielding Burst Tank,"Ionia Bonus: +8% Damage Reduction. Active: shield self and the 2 lowest-Health allies for 4s. After ally's shield duration expire, Shen's Shield refreshes and burst, dealing magic damage to adjacent enemies.",2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,240/360/2500% AP,Burst,burst,Once,—,AOE
Set 9,Yasuo,4 Gold,Carry,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Omnivamp,15%,—,—,Once,Permanent,Direct
Set 9,Yasuo,4 Gold,Carry,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",1,Active,On Cast,—,Self,Pierce Projectile,Farthest (within 3 hex),default,default,1,1,—,—,—,Enemies in path,Status,Stun,—,—,—,Once,—,Projectile
Set 9,Yasuo,4 Gold,Carry,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",2,Active,After Step 1,—,Self,Move,Step 1 Aim target,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Yasuo,4 Gold,Carry,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",3,Active,After Step 2,—,Self,Cast,Step 1 Aim target,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,500/500/1500% AD + 55/85/300% AP,—,—,Once,—,Direct
Set 9,Yasuo,4 Gold,Carry,Ionia,,Challenger,,1,Whirlwind Dash Carry,"Ionia Bonus: +15% Omnivamp. Active: send a whirlwind at the furthest enemy within 3 hexes, knocking up and Stunning all enemies hit. Dash to and slash the original target for heavy physical damage, then slam it into the ground, damaging enemies within 1 hex.",4,Active,After Step 3,—,Self,Circle AOE,Step 1 Aim target,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,300/300/750% AD,—,—,Once,—,AOE
Set 9,Ahri,5 Gold,Carry,Ionia,,Sorcerer,,4,Essence-Steal Spell Carry,"Ionia Bonus: +3 Mana per second. Active: steal essence from enemies around the current target, dealing magic damage and Mana Reaving them. Every third cast instead unleashes a wave that damages all enemies hit, dealing 33% more to enemies whose essence has been stolen.",0.1,Passive,Game Start,If Ionia Active,Self,Cast,Self,—,—,4,—,—,—,—,Same to Aim Target,Buff,Mana Regen,3 /s,—,—,Once,Permanent,Direct
Set 9,Ahri,5 Gold,Carry,Ionia,,Sorcerer,,4,Essence-Steal Spell Carry,"Ionia Bonus: +3 Mana per second. Active: steal essence from enemies around the current target, dealing magic damage and Mana Reaving them. Every third cast instead unleashes a wave that damages all enemies hit, dealing 33% more to enemies whose essence has been stolen.",1,Active,On Cast,If 1st or 2nd Cast,Self,Circle AOE,Current,centred,unknown,4,1,—,—,—,Enemies in area,Attack,Damage,105/150/1000% AP,—,—,Once,—,AOE
