Champion,Cost,Role,Damage Type,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
Blitzcrank,4 Gold,Tank,AP,Disco,,Sentinel,,1,Periodic-Zap Shield Tank,"Passive: Deal 100/150/1000% Ability Power magic damage to a nearby enemy every 2/2/2 seconds. Active: Gain a 600/750/2000% Ability Power Shield. For 5/5/5 seconds, Blitzcrank's Passive deals damage every second and deals an additional 1/1/1% of the target's max Health as magic damage.",0.1,Passive,Game Start,If not Empowered,Self,Cast,Nearest enemy,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,100/150/1000% AP,—,—,Every 2s,Permanent
,,,,,,,,,,,,,,If Empowered,,,,,,,,,,,Same to Aim Target,Attack,Damage,100/150/1000% AP,—,—,Every 1s,5
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,Damage,1% max HP,Derived,+1% target max HP,Every 1s,5
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,1,—,—,—,Same to Aim Target,Buff,Shield,600/750/2000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Empowered,—,—,—,Once,5
Twisted Fate,4 Gold,Mage,AP,Disco,,Dazzler,,5,Card-Barrage Shred Carry,Throw 21 cards (scales with Attack Speed) divided between the current target and 3 nearest enemies. They reduce Magic Resist by 1 and deal 50/75/225% Ability Power magic damage.,1,Active,On Cast,—,Self,Homing Projectile,Current + 3 nearest,default,default,5,21 (AS-scaled),—,Consecutive,—,Same to Aim Target,Attack,Damage,50/75/225% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,1,—,—,Once,—
Zac,4 Gold,Tank,AP,EDM,,Bruiser,,1,Bouncing Stun Tank,"Bounce 3/3/3 times on nearby enemies. Each bounce deals 120/180/1200% Ability Power magic damage, Stuns for 1/1/1 second, and heals Zac for 120/160/800% Ability Power Health.",1,Active,On Cast,—,Self,Bounce Charge,Nearest enemy,default,default,1,3,—,Consecutive,—,Same to Aim Target,Attack,Damage,120/180/1200% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,120/160/800% AP,—,—,Once,—
Zed,4 Gold,Fighter,AD,EDM,,Crowd Diver,,1,Mark-and-Shadow Assassin,"Mark the current target and spawn an untargetable Shadow with 185/185/370% Attack Damage for 4/4/4 seconds. After a brief delay or when the marked enemy falls below 15% health, deal an additional 350/350/700% Attack Damage physical damage.",1,Active,On Cast,—,Self,Cast,Current,—,—,1,1,—,—,—,Same to Aim Target,Status,Mark,—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Hero Summon,Current,—,—,1,1,—,—,—,—,Summon,(summon),185/185/370% AD,—,—,Once,4
,,,,,,,,,,,3,Active,After Step 2,After delay or Target < 15% HP,Self,Cast,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,350/350/700% AD,—,—,Once,—
Annie,1 Gold,Mage,AP,Emo,,Spellweaver,,5,Cast-Stacking Splash Mage,"Passive: After 4/4/4 casts, gain 40/40/40% Attack Speed and casts deal 80/120/180% Ability Power magic damage to another nearby enemy. Active: Deal 220/330/495% Ability Power magic damage to the current target.",0.1,Passive,On 4th Cast,—,Self,Cast,Self,—,—,5,—,—,—,—,Self,Buff,Attack Speed,40/40/40%,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Status,Empowered,—,—,—,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Current,—,—,5,—,—,—,—,Same to Aim Target,Attack,Damage,220/330/495% AP,—,—,Once,—
,,,,,,,,,,,2,Active,On Cast,If Empowered,Self,Cast,Nearest enemy,—,—,5,—,—,—,—,Same to Aim Target,Attack,Damage,80/120/180% AP,—,—,Once,—
Amumu,3 Gold,Tank,AP,Emo,,Guardian,,1,Armor-Stacking Stun Guardian,"Passive: When attacked, gain 4/4/4 Armor (stacks up to 25/25/25 times). Active: Deal 80/120/190% Ability Power and 150/175/200% Armor magic damage to adjacent enemies. Every 3rd cast hits enemies within 2 hexes and Stuns them for 1.5/1.5/1.5 seconds.",0.1,Passive,On Attacked,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Armor,4/4/4,Stacking,up to 25/25/25 stacks,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,If not 3rd Cast,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,80/120/190% AP + 150/175/200% Armor,—,—,Once,—
,,,,,,,,,,,,,,If 3rd Cast,,,,,Circle 2 hex,,,,,,Enemies in area,Attack,Damage,80/120/190% AP + 150/175/200% Armor,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.5/1.5/1.5
Vex,3 Gold,Mage,AP,Emo,,Executioner,,4,Shadow Stun Executioner,"Send a shadow to the current target that Stuns enemies within 1 hex for 1.5/1.5/1.5 seconds. Then, it deals 255/380/610% Ability Power magic damage to enemies within 1 hex.",1,Active,On Cast,—,Self,Spawn At Target,Current,default,default,4,1,—,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,2,Active,After Step 1,—,Step 1 Spawn,Circle AOE,Step 1 Aim target,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Status,Stun,—,—,—,Once,1.5/1.5/1.5
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Attack,Damage,255/380/610% AP,—,—,Once,—
Poppy,4 Gold,Tank,AD,Emo,,Mosher,,1,Bonus-HP Hammer Mosher,"Passive: Gain Attack Damage equal to 3% of bonus Health. Active: Gain 100 Armor and Magic Resistance for 6 seconds. Hammer the nearest enemy 3 times; each deals 260/260/525% Attack Damage physical damage and heals for 5/5/10% of Poppy's max Health, increased by Ability Power. If this kills an enemy, slam an additional time.",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,AD,3% bonus HP,Derived,of bonus Health,Once,Permanent
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Armor,100,—,—,Once,6
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,MR,100,—,—,Once,6
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Nearest enemy,—,—,1,3,—,Consecutive,—,Same to Aim Target,Attack,Damage,260/260/525% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,5/5/10% max HP,—,increased by AP,Once,—
,,,,,,,,,,,3,Active,On Kill,—,Self,Cast,Nearest enemy,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,260/260/525% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,5/5/10% max HP,—,increased by AP,Once,—
K'Sante,1 Gold,Tank,AD,Heartsteel,,Sentinel,,1,Stance Damage-Reduction Sentinel,"Enter a defensive stance, reducing damage taken by 20% plus 20/20/25% (Ability Power) for 2.5 seconds. Afterwards, deal 999% Attack Damage physical damage to the current target.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,2.5,Self,Buff,Damage Reduction,20% + 20/20/25% AP,—,—,Once,2.5
,,,,,,,,,,,2,Active,On Cast Expire,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,999% AD,—,—,Once,—
Aphelios,2 Gold,Marksman,AD,Heartsteel,,Rapidfire,,4,Stun-Splash Rapidfire,"Deal 725/725/725% Attack Damage physical damage and Stun the current target for 1.5/1.5/2 seconds. Deal 100/100/100% Attack Damage and Ability Power physical damage to enemies within 1 hex. If the original target dies, Stun enemies within 1 hex for 1/1/1 second.",1,Active,On Cast,—,Self,Cast,Current,—,—,4,—,—,—,—,Same to Aim Target,Attack,Damage,725/725/725% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1.5/1.5/2
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Step 1 Aim target,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,100/100/100% AD + AP,—,—,Once,—
,,,,,,,,,,,3,Active,On Kill,If Step 1 Target Died,Self,Circle AOE,Step 1 Aim target,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Status,Stun,—,—,—,Once,1/1/1
Sett,3 Gold,Tank,AP,Heartsteel,,Bruiser,Mosher,1,Missing-HP Shield Bruiser,"Gain a 375/425/475 Shield for 2/2/2 seconds, increased by 1/1/1 for every 4/4/4 missing Health. Deal 275/420/680% Ability Power magic damage to the current target and 130/210/340% Ability Power magic damage to enemies in a cone around them.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Shield,375/425/475,Derived,+1/1/1 per 4/4/4 missing Health,Once,2/2/2
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,275/420/680% AP,—,—,Once,—
,,,,,,,,,,,3,Active,After Step 2,—,Self,Cone AOE,Current,default,Cone 2 hex,1,1,—,—,—,Additional enemies in cone,Attack,Damage,130/210/340% AP,—,—,Once,—
Yone,3 Gold,Fighter,AD,Heartsteel,,Edgelord,Crowd Diver,1,Twin-Slash Omnivamp Edgelord,"Gain stacking Move Speed and 8% Ability Power Omnivamp for the rest of combat. Slash twice, dealing 210/210/215% Attack Damage physical damage to enemies in a cone each time. Omnivamp: Heal for percentage of damage dealt.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Move Speed,(stacking),Stacking,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Omnivamp,8% AP,—,—,Once,Permanent
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cone AOE,Current,default,Cone 1 hex,1,2,—,Consecutive,—,Enemies in area,Attack,Damage,210/210/215% AD,—,—,Once,—
Ezreal,4 Gold,Marksman,AD,Heartsteel,,Big Shot,,4,Blink-Line Big Shot,"Blink away from the current target and deal 350/350/700% Attack Damage physical damage to them. Every 3rd cast, deal 350/350/700% Attack Damage plus 80/120/360% Ability Power physical damage to all enemies in a line.",1,Active,On Cast,—,Self,Move,Away from enemies,—,—,4,—,—,—,—,Self,Movement,(reposition),—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,If not 3rd Cast,Self,Cast,Current,—,—,4,—,—,—,—,Same to Aim Target,Attack,Damage,350/350/700% AD,—,—,Once,—
,,,,,,,,,,,,,,If 3rd Cast,,Box AOE,,rear edge,Box 1.5x1.5,,1,,,,Enemies in path,Attack,Damage,350/350/700% AD + 80/120/360% AP,—,—,Once,—
Kayn,5 Gold,Fighter,AP,Heartsteel,Wildcard,Edgelord,,1,Recasting Chill Reaper,"Dash, then deal 400/600/4000% Ability Power magic damage to adjacent enemies and Chill them for 3/3/3 seconds. If Kayn only hits one target, he immediately casts again. Chill: Reduce Attack Speed by 20%.",1,Active,On Cast,—,Self,Move,Current,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,400/600/4000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Chill,−20% Attack Speed,—,—,Once,3/3/3
,,,,,,,,,,,3,Active,After Step 2,If Only 1 Enemy Hit,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,400/600/4000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Chill,−20% Attack Speed,—,—,Once,3/3/3
Lulu,3 Gold,Mage,AP,Hyperpop,,Spellweaver,,4,Two-Hit Bolt Spellweaver,"Fire a bolt toward the current target. It deals 250/375/600% Ability Power magic damage to the first enemy it passes through and 150/225/360% Ability Power magic damage to the second. Every 3rd cast, Stun the 3/3/3 nearest enemies for 1.25/1.25/1.25 seconds and deal 150/225/360% Ability Power magic damage instead.",1,Active,On Cast,If not 3rd Cast,Self,Pierce Projectile,Current,default,default,4,1,—,—,—,First hit enemy,Attack,Damage,250/375/600% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path (farther),Attack,Damage,150/225/360% AP,—,—,Once,—
,,,,,,,,,,,,,,If 3rd Cast,,Cast,Nearest 3 enemies,—,—,,—,,,,Same to Aim Target,Attack,Damage,150/225/360% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1.25/1.25/1.25
Ziggs,5 Gold,Mage,AP,Hyperpop,,Dazzler,,4,Splitting Bomb Dazzler,Throw a bomb at the current target that deals 360/540/4000% Ability Power magic damage. It splits into smaller bombs that Shred their target for 4/4/4 seconds and deal 90/135/500% Ability Power magic damage. Each cast increases the number of smaller bombs by 1/1/1. Shred: Reduce Magic Resist by 30%.,1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,360/540/4000% AP,—,—,Once,—
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Homing Projectile,Nearest enemies (one each),default,default,4,5,—,At Once,—,Same to Aim Target,Attack,Damage,90/135/500% AP,Stacking,+1/1/1 smaller bomb per cast,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,30%,—,—,Once,4/4/4
Illaoi,5 Gold,Tank,AP,ILLBEATS,,Bruiser,,1,Tentacle-Slamming Bruiser,"Passive: Every 3/3/3 seconds, Illaoi's tentacles deal 60/60/500% Armor and Magic Resist magic damage to nearby enemies. Active: Gain 100/150/400 Armor and Magic Resist for 3.5 seconds. Revive or fully heal the lowest Health tentacle. Leap at the nearest enemy and deal 100/150/4000% Ability Power magic damage in a large circle 3/3/7 times as tentacles slam in unison.",0.1,Passive,Game Start,—,Self,Static Summon,Self,—,—,1,unknown,—,—,—,—,Summon,(summon),—,—,—,Once,—
,,,,,,,,,,,0.2,Passive,Every 3/3/3 seconds,—,Summon,Box AOE,Self,rear edge,Box 1x2,1,1,—,—,—,Enemies in area,Attack,Damage,60/60/500% Armor + MR,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Self,Buff,Armor,100/150/400,—,—,Once,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,MR,100/150/400,—,—,Once,3.5
,,,,,,,,,,,2,Active,After Step 1,If lowest-HP tentacle,Self,Cast,Summon,—,—,1,—,—,—,—,Same to Aim Target,Buff,Heal,100%,—,"revive if dead, else full heal",Once,—
,,,,,,,,,,,3,Active,After Step 2,—,Self,Move,Nearest enemy,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,Once,—
,,,,,,,,,,,4,Active,After Step 3,—,Self,Circle AOE,Self,centred,unknown,1,3/3/7,—,Consecutive,—,Enemies in area,Attack,Damage,100/150/4000% AP,—,—,Once,—
Evelynn,1 Gold,Fighter,AP,K/DA,,Crowd Diver,,1,Decaying-Haste Reaper,"Deal 200/300/450% Ability Power magic damage to the current target. Gain 150/150/150% Attack Speed that decays over 4/4/4 seconds. While active, attacks restore 25/30/35 Health.",1,Active,On Cast,—,Self,Cast,Current,—,—,1,—,—,—,—,Same to Aim Target,Attack,Damage,200/300/450% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,Self,,,,,,,,Self,Buff,Attack Speed,150/150/150%,Decay,decays to 0 over the duration,Once,4/4/4
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Status,Empowered,—,—,—,Once,4/4/4
,,,,,,,,,,,2,Active,On Attack,If Empowered,Self,Bonus on AA,Current,—,—,1,—,—,—,—,Self,Buff,Heal,25/30/35,—,—,Once,—
Lillia,1 Gold,Tank,AP,K/DA,,Superfan,Sentinel,1,Splash-Heal Sentinel,Deal 180/270/400% Ability Power magic damage to adjacent enemies. Heal Lillia for 180/220/260% Ability Power and her nearest ally for 90/110/130% Ability Power.,1,Active,On Cast,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,180/270/400% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,180/220/260% AP,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Nearest ally,—,—,1,—,—,—,—,Same to Aim Target,Buff,Heal,90/110/130% AP,—,—,Once,—
Bard,2 Gold,Mage,AP,Jazz,,Dazzler,,4,Random-Note Dazzler,Play a 4/4/4-note tune at random using 3 possible notes: Doot - Deal 200/300/450% Ability Power magic damage to the current target. Chime - Heal the lowest Health ally for 120/150/180% Ability Power Health. Tip - Drop 1/1/1 gold and play another note. (3/3/3 Gold in Hyper Roll).,1,Active,On Cast,If note is Doot,Self,Cast,Current,—,—,4,4/4/4,—,Consecutive,—,Same to Aim Target,Attack,Damage,200/300/450% AP,—,—,Once,—
,,,,,,,,,,,,,,If note is Chime,,,Lowest-HP Ally,,,,,,,,Same to Aim Target,Buff,Heal,120/150/180% AP,—,—,Once,—
,,,,,,,,,,,,,,If note is Tip,,,Self,,,,,,,,Self,Buff,Gold,1/1/1,Stacking,+1 extra note per Tip (3 Gold in Hyper Roll),Once,—
Kai'Sa,2 Gold,Marksman,AD,K/DA,,Big Shot,,6,Dash-and-Missile Big Shot,Dash up to 2 hexes and fire a missile at the current target. It deals 290/290/300% Attack Damage plus 40/60/90% Ability Power physical damage to the first enemy hit.,1,Active,On Cast,—,Self,Move,Current,—,—,6,—,—,—,—,Self,Movement,(reposition),—,—,up to 2 hexes,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,First hit Projectile,Current,default,default,6,1,—,—,—,First hit enemy,Attack,Damage,290/290/300% AD + 40/60/90% AP,—,—,Once,—
