Set,Champion,Cost,Max Mana,Dmg score,Role,Archetype 1,Archetype 2,Current Summary,Why these tags,Your call
S9,Twisted Fate,2,75,510,Mage,AOE,—,Delayed-Burst Mage,collision Area/Target-Only,
S9,Nautilus,3,140,225,Tank,AOE,Crowd Control,Knock-Up Anchor,collision Area; dmg 225 < 300,
S9,Gangplank,5,180,925,Marksman,Utility,AOE,Dreadway Admiral,collision Area/Pierce-All,
S9,Naafiri,2,50,222,Fighter,Heal,Summoner,Packmate Duelist,dmg 222 < 300,
S9,Milio,1,60,740,Mage,Spell Spammer,AOE,Bouncing-Ball Support,"mage, max mana 60 <= 60; collision Area/Target-Only",
S9,Mordekaiser,4,80,525,Fighter,Shield,On-Hit,Stat-Stealing Reaper,dmg 525 >= 300,
S9,Fiora,4,120,210,Fighter,Heal,Single-Target,Untargetable Duellist,collision Target-Only; dmg 210 < 300,
S9,Quinn,3,90,333,Marksman,AOE,Shred,Marking Skirmisher,collision Pierce-All,
S9,Xayah,4,100,77,Marksman,AOE,Shred,Feather Volley,collision Pierce-All,
S10,Corki,1,60,144,Marksman,AOE,—,Splash Wound Bomber,collision Area/Target-Only,
S10,Tahm Kench,1,0,0,Tank,—,—,Passive Damage-Reduction Tank,dmg 0 < 300,
S10,Garen,2,90,0,Tank,—,—,Empowered-Attack Bruiser,dmg 0 < 300,
S10,Katarina,2,60,210,Fighter,Single-Target,—,Bouncing-Blade Wound Diver,collision Target-Only; dmg 210 < 300,
S10,Riven,3,100,51,Fighter,AOE,Shield,Shielded Splash Fighter,collision Area; dmg 51 < 300,
S10,Samira,3,100,210,Marksman,Single-Target,—,Style-Stacking Crit Carry,collision Target-Only,
S10,Urgot,3,20,130,Fighter,AOE,Shield,AS→AD Cone Fighter,collision Area; dmg 130 < 300,
S10,Caitlyn,4,90,312,Marksman,Snipe Backline,Single-Target,Furthest-Target Sniper,collision First-Hit,
S10,Thresh,4,160,225,Tank,AOE,Heal,Cluster-Stun Tank,collision Area; dmg 225 < 300,
S10,Nami,1,60,450,Mage,Spell Spammer,Crowd Control,Single-Target Stun Nuke,"mage, max mana 60 <= 60; collision Target-Only",
S10,Taric,1,140,0,Tank,Shield,—,Shielded Empowered-Attack Tank,dmg 0 < 300,
S10,Gragas,2,80,285,Tank,AOE,Heal,Heal-then-Chill Tank,collision Area; dmg 285 < 300,
S10,Jax,2,120,555,Fighter,AOE,—,Leaping Splash Fighter,collision Area; dmg 555 >= 300,
S10,Lux,3,75,375,Mage,Snipe Backline,AOE,Piercing Beam Caster,collision Pierce-All,
S10,Blitzcrank,4,120,300,Tank,Shield,—,Periodic-Zap Shield Tank,dmg 300 >= 300,
S10,Twisted Fate,4,105,75,Mage,Shred,Single-Target,Card-Barrage Shred Carry,collision Target-Only,
S10,Zac,4,120,180,Tank,Heal,Crowd Control,Bouncing Stun Tank,collision Target-Only; dmg 180 < 300,
S10,Zed,4,50,262,Fighter,Summoner,—,Mark-and-Shadow Assassin,dmg 262 < 300,
S10,Annie,1,50,450,Mage,Spell Spammer,—,Cast-Stacking Splash Mage,"mage, max mana 50 <= 60",
S10,Amumu,3,45,240,Tank,AOE,Crowd Control,Armor-Stacking Stun Guardian,collision Area; dmg 240 < 300,
S10,Vex,3,75,380,Mage,AOE,Crowd Control,Shadow Stun Executioner,collision Area/Target-Only,
S10,Poppy,4,100,312,Tank,Heal,—,Bonus-HP Hammer Mosher,dmg 312 >= 300,
S10,K'Sante,1,40,500,Tank,—,—,Stance Damage-Reduction Sentinel,dmg 500 >= 300,
S10,Aphelios,2,135,454,Marksman,AOE,Crowd Control,Stun-Splash Rapidfire,collision Area,
S10,Sett,3,90,630,Tank,AOE,Shield,Missing-HP Shield Bruiser,collision Area; dmg 630 >= 300,
S10,Yone,3,70,136,Fighter,AOE,Heal,Twin-Slash Omnivamp Edgelord,collision Area; dmg 136 < 300,
S10,Ezreal,4,40,610,Marksman,AOE,—,Blink-Line Big Shot,collision Area,
S10,Kayn,5,50,1200,Fighter,AOE,Crowd Control,Recasting Chill Reaper,collision Area; dmg 1200 >= 300,
S10,Lulu,3,40,825,Mage,Spell Spammer,AOE,Two-Hit Bolt Spellweaver,"mage, max mana 40 <= 60; collision Pierce-All",
S10,Ziggs,5,75,675,Mage,Shred,Single-Target,Splitting Bomb Dazzler,collision Target-Only,
S10,Illaoi,5,150,150,Tank,AOE,Heal,Tentacle-Slamming Bruiser,collision Area; dmg 150 < 300,
S10,Evelynn,1,90,300,Fighter,Heal,On-Hit,Decaying-Haste Reaper,dmg 300 >= 300,
S10,Lillia,1,130,270,Tank,AOE,Heal,Splash-Heal Sentinel,collision Area; dmg 270 < 300,
S10,Bard,2,60,300,Mage,Spell Spammer,Utility,Random-Note Dazzler,"mage, max mana 60 <= 60",
S10,Kai'Sa,2,30,220,Marksman,Single-Target,—,Dash-and-Missile Big Shot,collision First-Hit,
S10,Seraphine,2,60,210,Mage,Spell Spammer,AOE,Clump-Note Spellweaver,"mage, max mana 60 <= 60; collision Area",
S10,Miss Fortune,3,60,253,Marksman,Single-Target,—,Two-Target Big Shot,collision Target-Only,
S10,Neeko,3,90,0,Tank,AOE,Shield,Cosplay Shield Guardian,collision Area; dmg 0 < 300,
S10,Ahri,4,30,1130,Mage,Spell Spammer,Crowd Control,Kiss-Memory Spellweaver,"mage, max mana 30 <= 60; collision Target-Only",
S10,Lucian,5,125,69,Marksman,Snipe Backline,AOE,Fourteen-Shot Rapidfire,collision Area/First-Hit,
S10,Akali (K/DA),4,60,253,Assassin,AOE,—,Mark-and-Dash Executioner,collision Pierce-All/Target-Only,
S10,Akali (True Damage),4,60,253,Assassin,AOE,—,Mark-and-Dash Executioner,collision Pierce-All/Target-Only,
S10,Jinx,1,50,22,Marksman,On-Hit,—,Weapon-Swapping Rapidfire,,
S10,Vi,1,70,429,Fighter,Crowd Control,Shred,Armor-Shredding Mosher,dmg 429 >= 300,
S10,Pantheon,2,60,110,Tank,—,—,Retaliation Guardian,dmg 110 < 300,
S10,Twitch,2,70,162,Marksman,AOE,—,Shard-Bottle Executioner,collision Area/Target-Only,
S10,Olaf,1,0,0,Fighter,Heal,On-Hit,Missing-Health Bruiser,dmg 0 < 300,
S10,Gnar,2,70,184,Fighter,—,—,Transforming Mosher,dmg 184 < 300,
S10,Kayle,2,30,415,Mage,Spell Spammer,AOE,Wave-Attack Edgelord,"mage, max mana 30 <= 60; collision Area/Pierce-All",
S10,Mordekaiser,3,120,660,Tank,AOE,Shield,Shielded Zone Sentinel,collision Area; dmg 660 >= 300,
S10,Karthus,4,120,405,Mage,—,—,Crit-Scaling Executioner,,
S10,Viego,4,120,176,Fighter,AOE,Shred,Mark-Amplifying Edgelord,collision Area; dmg 176 < 300,
S10,Yorick,5,110,352,Fighter,Summoner,Shred,Ghoul-Horde Mosher,collision Target-Only; dmg 352 >= 300,
S10,Kennen,1,90,215,Tank,Crowd Control,—,Random-Jolt Guardian,dmg 215 < 300,
S10,Yasuo,1,50,140,Fighter,—,—,Kill-Stacking Edgelord,dmg 140 < 300,
S10,Senna,2,90,155,Mage,AOE,—,Pulsing-Blast Rapidfire,collision Area,
S10,Ekko,3,125,90,Tank,AOE,Shield,Stun-and-Shield Sentinel,collision Area; dmg 90 < 300,
S10,Jhin,5,50,42,Marksman,Summoner,Single-Target,Bench-Rifle Maestro,collision Target-Only,
S10,Qiyana,5,40,562,Fighter,Utility,—,Item-Stealing Crowd Diver,dmg 562 >= 300,
S10,Sona,5,170,0,Mage,Shield,Heal,Ally-Beat Spellweaver,collision Target-Only,
,,,,,,,,,,
How to read this tab,,,,,,,,,,
"THIS TAB IS TEMPORARY. It is a review surface for the proposed 'Hero archetype' column, not a vocabulary the Hero tabs validate against. Once the tags below are signed off they move into new 'Archetype 1' / 'Archetype 2' columns on 'Hero set 9' and 'Hero set 10', a 'Hero Archetype Types' tab is created so VALIDATE enforces them, and this tab is deleted.",,,,,,,,,,
"TWO COLUMNS, NOT ONE, because a champion can be two things at once (Galio is an AOE Tank AND a Heal Tank). That follows the precedent already on the identity block beside it: Origin 1/Origin 2 and Class 1/Class 2. One value per cell keeps VALIDATE working unchanged.",,,,,,,,,,
"A TAG IS 'PATTERN + FUNCTION'. The FUNCTION noun (Tank, Mage, Bruiser, Assassin, Marksman, Fighter, Juggernaut, Support) comes from the champion's CLASS trait — all 27 classes across both sets collapse onto those eight, which is what lets ONE vocabulary span Set 9 and Set 10. Role overrides Class for front-liners: Galio is a Sorcerer-class TANK, and calling him an AOE Mage loses the only thing that decides where he is placed.",,,,,,,,,,
"AOE vs SINGLE-TARGET IS READ OFF 'Collision', not kept by hand. Collision is already defined on its own tab as the set of units an action physically touches, so AOE = Area / Pierce-All / Flank-Pair and Single-Target = Target-Only / First-Hit. This is why Sona counts as AOE: her Pierce Projectile is Pierce-All, 'EVERY unit along the path'. It stays correct when a new action is added, because the new action must declare a Collision anyway.",,,,,,,,,,
"SPELL SPAMMER = MAGE AND MAX MANA <= 60 (the user's rule, round 11). Note MAX mana, NOT max-minus-starting. An earlier pass used effective mana and got two champions wrong: Karma (eff 50 but max 50, so she DOES qualify) and Sona (eff 45 but max 80, so she does NOT — which is correct, he called her an AOE mage, never a spammer). Do not 'simplify' this back to effective mana.",,,,,,,,,,
"NO FORMULA REPRODUCES THE SPAMMER LABELS ON ITS OWN. The five champions whose Summary already said 'Spammer' rank 11th, 12th, 24th, 50th and 58th of 133 on casts-per-second (AS x 10 / mana), so the <=60 line is a STATED rule, not a discovered one. VALIDATE will enforce the tag's spelling; it can never enforce that an assignment is right. That part stays a human call.",,,,,,,,,,
"THE VOCABULARY IS CAPPED. A pattern+function tag covering fewer than 5 champions collapses into the next tag that champion earns — otherwise the cross-product explodes to 54 tags for 135 champions, 14 of them covering exactly one champion, which is a second Summary rather than an archetype. Two exemptions: 'Spell Spammer' survives at any count (the user called it important), and tags the user NAMED HIMSELF outrank the threshold ('AOE Juggernaut' covers only four).",,,,,,,,,,
"OPEN QUESTION — SAMIRA. Her Summary says 'Single-Target Shred Spammer' and her max mana is 30, the lowest on either tab, but she is an AD carry and the rule says MAGE, so she gets no spammer tag. Sona is the same shape: Summary still says 'Spell Spammer', archetype now says AOE Mage. Either both Summaries get edited to stop claiming it, or the rule widens from 'mage' to 'any caster'.",,,,,,,,,,
"NAAFIRI: this sheet spelled her 'Naafari'. Source and Riot both spell her 'Naafiri'. Nothing depended on it until mana had to be joined from the source sheet, at which point she silently dropped out. Fixed on 'Hero set 9' in this same round.",,,,,,,,,,
"MAOKAI has no mana in source at all ('N/A') — he is the mana-leech champion, so he can never qualify as a spammer. That is data, not a gap.",,,,,,,,,,
,,,,,,,,,,
"ROLES — Tank 39, Marksman 32, Mage 29, Fighter 26, Assassin 9",,,,,,,,,,
,,,,,,,,,,
ARCHETYPE PATTERNS — 11 over 135 champions (16 spammers),,,,,,,,,,
76 x  AOE,,,,,,,,,,
31 x  Crowd Control,,,,,,,,,,
28 x  Single-Target,,,,,,,,,,
26 x  Heal,,,,,,,,,,
22 x  Shield,,,,,,,,,,
20 x  Shred,,,,,,,,,,
18 x  On-Hit,,,,,,,,,,
16 x  Spell Spammer,,,,,,,,,,
8 x  Summoner,,,,,,,,,,
7 x  Utility,,,,,,,,,,
4 x  Snipe Backline,,,,,,,,,,
